代码,学校名称,办学性质,招生人数,指标生
8310101,深圳中学（一）,公办,1625,813
8310122,深圳中学（二）,公办,175,88
8310178,深圳中学数理高中（一）,公办,375,188
8310179,深圳中学数理高中（二）,公办,125,63
8310102,深圳实验学校（高中部）（一）,公办,465,233
8310123,深圳实验学校（高中部）（二）,公办,51,26
8310141,深圳实验学校光明高中部（一）,公办,957,479
8310142,深圳实验学校光明高中部（二）,公办,143,72
8310158,深圳实验学校明理高中（一）,公办,720,360
8310159,深圳实验学校明理高中（二）,公办,280,140
8310160,深圳实验学校崇文高中（一）,公办,640,320
8310161,深圳实验学校崇文高中（二）,公办,260,130
8310162,深圳实验学校卓越高中（一）,公办,570,285
8310163,深圳实验学校卓越高中（二）,公办,230,115
8310180,深圳实验学校至臻高中（一）,公办,375,188
8310181,深圳实验学校至臻高中（二）,公办,125,63
8310105,深圳外国语学校（一）,公办,682,341
8310125,深圳外国语学校（二）,公办,92,46
8310139,深圳外国语学校龙华高中部（一）,公办,700,350
8310140,深圳外国语学校龙华高中部（二）,公办,200,100
8310164,深圳外国语学校致远高中（一）,公办,425,213
8310165,深圳外国语学校致远高中（二）,公办,175,88
8310166,深圳外国语学校弘知高中（一）,公办,710,355
8310167,深圳外国语学校弘知高中（二）,公办,290,145
8310168,深圳外国语学校博雅高中（一）,公办,640,320
8310169,深圳外国语学校博雅高中（二）,公办,260,130
8310182,深圳外国语学校理工高中（一）,公办,375,188
8310183,深圳外国语学校理工高中（二）,公办,125,63
8310106,深圳市高级中学中心校区（一）,公办,720,360
8310107,深圳市高级中学中心校区（二）,公办,180,90
8310136,深圳市高级中学东校区（一）,公办,740,370
8310137,深圳市高级中学东校区（二）,公办,260,130
8310170,深圳市高级中学创新高中（一）,公办,585,293
8310171,深圳市高级中学创新高中（二）,公办,215,108
8310172,深圳市高级中学文博高中（一）,公办,710,355
8310173,深圳市高级中学文博高中（二）,公办,290,145
8310174,深圳市高级中学理慧高中（一）,公办,640,320
8310175,深圳市高级中学理慧高中（二）,公办,260,130
8310184,深圳市高级中学有为高中（一）,公办,375,188
8310185,深圳市高级中学有为高中（二）,公办,125,63
8310108,深圳市第三高级中学（国内高考班）（一）,公办,460,230
8310109,深圳市第三高级中学（国内高考班）（二）,公办,190,95
8310110,深圳市第三高级中学（国家留学基金委自费出国留学班）,公办,376,0
8310112,深圳大学附属中学（深大附中）（一）,公办,445,223
8310113,深圳大学附属中学（深大附中）（二）,公办,155,78
8310114,深圳市第二实验学校（一）,公办,377,189
8310115,深圳市第二实验学校（二）,公办,123,62
8310186,深圳市第二实验学校明远高中（一）,公办,450,225
8310187,深圳市第二实验学校明远高中（二）,公办,150,75
8310116,深圳市第二高级中学（一）,公办,760,380
8310117,深圳市第二高级中学（二）,公办,240,120
8310176,深圳市第二高级中学深汕实验学校（一）,公办,480,240
8310177,深圳市第二高级中学深汕实验学校（二）,公办,202,101
8310118,深圳第二外国语学校（一）,公办,640,320
8310119,深圳第二外国语学校（二）,公办,260,130
8310120,深圳科学高中（一）,公办,825,413
8310121,深圳科学高中（二）,公办,275,138
8310145,深圳科学高中龙岗分校（一）,公办,410,205
8310146,深圳科学高中龙岗分校（二）,公办,140,70
8310134,深圳市第七高级中学（一）,公办,710,355
8310135,深圳市第七高级中学（二）,公办,290,145
8310150,南方科技大学附属中学（一）,公办,600,300
8310151,南方科技大学附属中学（二）,公办,200,100
8310147,广东实验中学深圳学校（一）,公办,525,263
8310148,广东实验中学深圳学校（二）,公办,175,88
8310152,深圳大学附属实验中学（一）,公办,450,225
8310153,深圳大学附属实验中学（二）,公办,150,75
8310154,深圳技术大学附属中学（一）,公办,425,213
8310155,深圳技术大学附属中学（二）,公办,175,88
8310156,东北师范大学附属中学深圳学校（一）,公办,425,213
8310157,东北师范大学附属中学深圳学校（二）,公办,175,88
8310189,深圳北理莫斯科大学附属实验中学（一）,公办,150,75
8310190,深圳北理莫斯科大学附属实验中学（二）,公办,50,25
8310133,深圳市第一职业技术学校（综合高中）,公办,100,0
8310401,红岭中学（一）,公办,960,480
8310402,红岭中学（二）,公办,290,145
8310403,福田中学（一）,公办,780,390
8310404,福田中学（二）,公办,220,110
8310405,梅林中学（一）,公办,425,213
8310406,梅林中学（二）,公办,175,88
8310407,福田区外国语高级中学（一）,公办,510,255
8310408,福田区外国语高级中学（二）,公办,190,95
8310424,深圳明德实验学校（集团）高级中学（香蜜校区）（一）,公办,235,118
8310425,深圳明德实验学校（集团）高级中学（香蜜校区）（二）,公办,65,33
8310426,深圳明德实验学校（集团）高级中学（大鹏校区）（一）,公办,235,118
8310427,深圳明德实验学校（集团）高级中学（大鹏校区）（二）,公办,65,33
8310409,深圳市福景外国语学校,民办,360,0
8310418,深圳市耀华实验学校,民办,178,0
8310420,深圳市云顶学校,民办,180,0
8310301,翠园中学（一）,公办,700,350
8310302,翠园中学（二）,公办,200,100
8310303,罗湖高级中学（一）,公办,465,233
8310304,罗湖高级中学（二）,公办,185,93
8310305,罗湖外语学校（一）,公办,455,228
8310313,罗湖外语学校（二）,公办,145,73
8310306,深圳市美术学校（一）,公办,215,108
8310307,深圳市美术学校（二）,公办,85,43
8310308,深圳市行知职业技术学校（综合高中）,公办,300,0
8310312,深圳奥斯翰外语学校,民办,330,0
8310501,南头中学（一）,公办,661,331
8310502,南头中学（二）,公办,215,108
8310503,育才中学（一）,公办,470,235
8310504,育才中学（二）,公办,130,65
8310505,华侨城中学（一）,公办,620,310
8310506,华侨城中学（二）,公办,180,90
8310507,北师大南山附属学校中学部（一）,公办,301,151
8310508,北师大南山附属学校中学部（二）,公办,75,38
8310509,深圳市南山外国语学校（集团）高级中学（一）,公办,480,240
8310517,深圳市南山外国语学校（集团）高级中学（二）,公办,120,60
8310510,深圳市为明学校（原北大附中深圳南山分校,民办,200,0
8310512,深圳(南山)中加学校,民办,160,0
8310801,盐田高级中学（一）,公办,750,375
8310802,盐田高级中学（二）,公办,250,125
8310805,深圳市盐港中学（综合高中）,公办,100,0
8310803,深圳市万科梅沙书院,民办,60,0
8310804,深圳市盐田区梅沙双语学校,民办,48,0
8310601,宝安中学（集团）高中部（一）,公办,790,395
8310602,宝安中学（集团）高中部（二）,公办,210,105
8310605,新安中学（集团）高中部（一）,公办,600,300
8310606,新安中学（集团）高中部（二）,公办,200,100
8310603,宝安第一外国语学校（一）,公办,563,282
8310604,宝安第一外国语学校（二）,公办,187,94
8310607,西乡中学（一）,公办,730,365
8310608,西乡中学（二）,公办,270,135
8310609,沙井中学（一）,公办,422,211
8310610,沙井中学（二）,公办,178,89
8310611,松岗中学（一）,公办,215,108
8310612,松岗中学（二）,公办,85,43
8310616,深圳市石岩公学（公办班）,公办,500,0
8310639,深圳市福海中学（一）,公办,425,213
8310640,深圳市福海中学（二）,公办,175,88
8310641,深圳市龙津中学（一）,公办,710,355
8310642,深圳市龙津中学（二）,公办,290,145
8310643,深圳市燕川中学（一）,公办,710,355
8310644,深圳市燕川中学（二）,公办,290,145
8310618,深圳东方英文书院,民办,590,0
8310627,深圳市崛起实验中学,民办,500,0
8310614,深圳市桃源居中澳实验学校,民办,1188,0
8310628,深圳市华胜实验学校,民办,400,0
8310619,深圳市富源学校,民办,628,0
8310629,深圳市华侨（康桥）书院,民办,500,0
8310630,深圳市明德外语实验学校,民办,500,0
8310631,深圳市宝安区中英公学,民办,20,0
8310632,深圳市松岗中英文实验学校,民办,340,0
8310633,深圳市宝安区翻身实验学校（西校区）,民办,500,0
8310635,深圳市华一实验学校,民办,400,0
8310637,深圳市福桥高级中学,民办,288,0
8310638,深圳市滨海高级中学,民办,520,0
8310701,龙城高级中学（一）,公办,750,375
8310702,龙城高级中学（二）,公办,250,125
8310703,平冈中学（一）,公办,500,250
8310704,平冈中学（二）,公办,200,100
8310705,布吉高级中学（一）,公办,710,355
8310706,布吉高级中学（二）,公办,290,145
8310707,布吉中学（一）,公办,282,141
8310708,布吉中学（二）,公办,118,59
8310709,横岗高级中学（一）,公办,565,283
8310710,横岗高级中学（二）,公办,235,118
8310711,平湖外国语学校（一）,公办,212,106
8310712,平湖外国语学校（二）,公办,88,44
8310713,华中师范大学龙岗附属中学（一）,公办,710,355
8310714,华中师范大学龙岗附属中学（二）,公办,290,145
8310744,深圳市龙岗区实验高级中学（一）,公办,285,143
8310745,深圳市龙岗区实验高级中学（二）,公办,115,58
8310715,深圳市龙岗区东升学校,民办,850,0
8310716,深圳市建文外国语学校,民办,1500,0
8310734,深圳市龙岗区科城实验学校,民办,300,0
8310735,深圳市承翰学校,民办,780,0
8310738,深圳市德邦高级中学,民办,1500,0
8310739,深圳市龙岗区珊蒂泉外国语学校,民办,720,0
8310740,深圳市枫叶学校,民办,100,0
8310741,深圳市龙岗区德琳学校,民办,846,0
8310742,深圳市鹏达高级中学,民办,504,0
8310743,深圳菁华中英文实验中学,民办,911,0
8310746,深圳市晟才高级中学,民办,352,0
8310422,深圳市皇御苑学校,民办,600,0
8311001,龙华中学（一）,公办,282,141
8311002,龙华中学（二）,公办,118,59
8311003,观澜中学（一）,公办,720,360
8311004,观澜中学（二）,公办,280,140
8311005,龙华高级中学（一）,公办,450,225
8311006,龙华高级中学（二）,公办,150,75
8311014,深圳市艺术高中（一）,公办,284,142
8311015,深圳市艺术高中（二）,公办,116,58
8311016,深圳市格致中学（一）,公办,425,213
8311017,深圳市格致中学（二）,公办,175,88
8311018,深圳市红山中学（一）,公办,425,213
8311019,深圳市红山中学（二）,公办,175,88
8311022,深圳市龙华外国语高级中学（一）,公办,425,213
8311023,深圳市龙华外国语高级中学（二）,公办,175,88
8311025,深圳市致理中学（一）,公办,1125,563
8311026,深圳市致理中学（二）,公办,375,188
8311007,深圳市龙华中英文实验学校,民办,400,0
8311008,深圳市美中学校,民办,560,0
8311009,深圳市展华实验学校,民办,300,0
8311012,深圳市厚德书院,民办,520,0
8311013,深圳市格睿特高级中学,民办,462,0
8311020,深圳市明瑞高级中学,民办,350,0
8311024,深圳市龙华区博恒实验学校,民办,280,0
8311021,深圳市汉开数理高中,民办,640,0
8310201,坪山高级中学（一）,公办,640,320
8310202,坪山高级中学（二）,公办,260,130
8310208,深圳市聚龙科学中学（一）,公办,710,355
8310209,深圳市聚龙科学中学（二）,公办,290,145
8310204,深圳市龙翔学校,民办,900,0
8310205,深圳市中新中学,民办,360,0
8310206,深圳市立人高级中学,民办,300,0
8310207,深圳市华朗学校,民办,300,0
8310210,深圳市知源高级中学,民办,500,0
8310901,光明区高级中学（一）,公办,1020,510
8310902,光明区高级中学（二）,公办,420,210
8310903,光明中学（一）,公办,425,213
8310904,光明中学（二）,公办,175,88
8310906,中国科学院深圳理工大学附属实验高级中学（一）,公办,497,249
8310907,中国科学院深圳理工大学附属实验高级中学（二）,公办,203,102
8310905,深圳市光明书院,民办,630,0
8310636,深圳杰仁高级中学,民办,240,0
8311101,人大附中深圳学校（一）,公办,730,365
8311102,人大附中深圳学校（二）,公办,270,135
8311105,深圳市红岭教育集团大鹏华侨中学（一）,公办,450,225
8311106,深圳市红岭教育集团大鹏华侨中学（二）,公办,150,75
8311103,深圳市明德实验双语学校,民办,100,0
8311104,深圳市正德高级中学,民办,300,0