代码,学校名称,[2019],[2020],[2021],[2022],[2023],[2024],[2025]
8310101,深圳中学,439,433,576,572,574,567,574
8310191,深圳中学科技高中,,,,,,464,470
8310178,深圳中学数理高中,,,,,528,483,468
8310193,深圳中学实验高中,,,,,,467,468
8310102,深圳实验学校（高中部）,436,429,573,571,573,567,570
8310141,深圳实验学校（光明高中部）,409,405,531,551,557,543,549
8310158,深圳实验学校明理高中,,,,508,533,509,511
8310160,深圳实验学校崇文高中,,,,346,503,492,511
8310162,深圳实验学校卓越高中,,,,345,496,481,503
8310180,深圳实验学校至臻高中,,,,,490,495,501
8310105,深圳外国语学校,433,430,570,570,572,565,568
8310139,深圳外国语学校龙华高中部,405,403,529,542,555,543,549
8310164,深圳外国语学校致远高中,,,,399,492,468,495
8310166,深圳外国语学校弘知高中,,,,480,517,502,514
8310168,深圳外国语学校博雅高中,,,,461,504,485,501
8310182,深圳外国语学校理工高中,,,,,490,465,489
8310106,深圳市高级中学中心校区,432,430,568,570,572,565,569
8310136,深圳市高级中学东校区,406,408,529,540,554,541,548
8310170,深圳市高级中学创新高中,,,,529,544,526,532
8310172,深圳市高级中学文博高中,,,,494,525,507,512
8310174,深圳市高级中学理慧高中,,,,507,532,512,524
8310184,深圳市高级中学有为高中,,,,,510,503,517
8310108,深圳市第三高级中学（国内高考班）,393,393,497,507,531,514,524
8310110,深圳市第三高级中学（自费出国留学班）,398,301,371,345,434,432,
8310112,深圳大学附属中学（深大附中）,424,423,560,563,567,558,562
8310152,深圳大学附属实验中学,,,503,533,549,537,546
8310114,深圳市第二实验学校,413,414,540,552,558,548,550
8310186,深圳市第二实验学校明远高中,,,,,486,464,474
8310116,深圳市第二高级中学,415,416,548,556,561,551,557
8310176,深圳市第二高级中学深汕实验学校,,,,450,463,448,466
8310118,深圳第二外国语学校,394,392,503,514,541,523,530
8310120,深圳科学高中,419,419,553,559,565,555,560
8310145,深圳科学高中龙岗分校,,335,535,544,552,538,545
8310134,深圳市第七高级中学,381,385,482,475,504,485,504
8310150,南方科技大学附属中学,,413,546,558,561,549,556
8310147,广东实验中学深圳学校,,,526,546,554,542,549
8310154,深圳技术大学附属中学,,,484,489,528,518,531
8310156,东北师范大学附属中学深圳学校,,,485,526,546,535,540
8310189,深圳北理莫斯科大学附属实验中学,,,,,546,534,544
8310133,深圳市第一职业技术学校（综合高中）,392,394,508,495,499,487,
8310401,红岭中学,428,426,564,566,569,560,565
8310403,福田中学,382,380,488,506,538,523,532
8310405,北京大学附属中学深圳学校(梅林中学),373,368,463,453,481,463,495
8310407,西交利物浦大学外国语,390,389,494,500,530,513,524
8310424,香港中文大学附属明德高级中学,390,389,503,528,544,527,536
8310426,深圳明德实验学校（集团）高级中学（大鹏/梅中校区）,,,,438,474,454,
8310301,翠园中学,417,417,545,552,559,548,557
8310303,罗湖高级中学,381,378,479,492,526,510,523
8310305,罗湖外语学校,397,392,509,527,542,522,532
8310306,深圳市美术学校,380,378,500,423,472,442,459
8310308,深圳市行知职业技术学校（综合高中）,,,,447,492,482,
8310501,南头中学,405,403,522,538,549,533,541
8310503,育才中学,423,422,557,562,567,559,564
8310518,育才中学蛇口校区,,,,,,,549
8310505,华侨城中学,398,398,512,534,547,530,536
8310507,北京师范大学南山附属学校,411,412,542,556,563,556,562
8310509,南山外国语学校（集团）高级中学,422,423,558,562,561,551,559
8310801,盐田高级中学,406,402,524,542,549,533,539
8310805,深圳市盐港中学（综合高中）,,,,485,506,482,
8310601,宝安中学（集团）高中部,425,426,561,564,568,559,564
8310605,新安中学（集团）高中部,408,409,535,549,554,540,547
8310603,宝安第一外国语学校,401,400,518,536,545,526,531
8310607,西乡中学,385,386,494,488,513,493,513
8310609,沙井中学,355,361,456,449,474,450,469
8310611,松岗中学,396,397,513,535,545,527,532
8310616,石岩外国语学校,395,397,512,497,512,447,482
8310639,深圳市福海中学,,,,466,501,484,507
8310641,深圳市龙津中学,,,,505,537,520,528
8310643,深圳市燕川中学,,,,478,515,504,521
8310701,龙城高级中学,409,409,539,553,560,550,557
8310703,平冈中学,384,383,485,485,519,504,519
8310705,布吉高级中学,367,365,458,452,476,454,474
8310707,布吉中学,349,354,443,442,456,445,462
8310709,横岗高级中学,362,363,457,451,480,458,480
8310711,平湖外国语学校,359,360,454,449,475,451,471
8310713,华中师范大学龙岗附属中学,398,397,517,537,550,539,545
8310744,深圳市龙岗区实验高级中学,,,,495,532,523,536
8311001,龙华中学,356,359,453,447,468,449,475
8311003,观澜中学,368,372,475,472,501,476,495
8311005,龙华高级中学,401,401,529,548,557,546,553
8311014,深圳市艺术高中,,,,446,471,450,464
8311016,深圳市格致中学,,,503,529,545,530,537
8311018,深圳市红山中学,,,496,521,544,529,537
8311022,深圳市龙华外国语高级中学,,,,461,497,482,507
8311025,深圳市致理中学,,,,,492,474,501
8311027,深圳市龙华科技实验高级中学,,,,,,466,489
8310201,坪山高级中学,366,366,466,469,493,468,492
8310208,深圳市聚龙科学中学,,,,458,490,464,485
8310901,光明区高级中学,375,378,479,476,505,489,508
8310903,光明中学,359,362,460,457,482,459,480
8310906,中国科学院深圳理工大学附属实验高级中学,,,496,523,542,528,542
8311101,人大附中深圳学校,414,413,531,546,556,545,553
8311105,深圳市红岭教育集团大鹏华侨中学,,,,,522,508,521