代码,名称,招生人数,学校等级,办学性质,住宿,招生范围,[2019],[2020],[2021],[2022],[2023]
8310101,深圳中学（一）,1625,省一级,公办,,面向全市招收AC类考生,439,433,576,572,574
8310102,深圳实验学校（高中部）（一）,465,省一级,公办,全寄宿,面向全市招收AC类考生,436,429,573,571,578
8310105,深圳外国语学校（一）,682,省一级,公办,全寄宿,面向全市招收AC类考生,433,430,570,570,572
8310106,深圳市高级中学中心校区（一）,720,省一级,公办,全寄宿,面向全市招收AC类考生,432,430,568,570,572
8310108,深圳市第三高级中学（国内高考班）（一）,460,省一级,公办,全寄宿,面向全市招收AC类考生,393,393,497,507,531
8310110,深圳市第三高级中学（自费出国留学班）,376,省一级,公办,全寄宿,面向全市招收ACD类考生,398,301,371,345,434
8310112,深圳大学附属中学（深大附中）（一）,445,省一级,公办,全寄宿,面向全市招收AC类考生,424,423,560,563,567
8310114,深圳市第二实验学校（一）,377,省一级,公办,全寄宿,面向全市招收AC类考生,413,414,540,552,558
8310116,深圳市第二高级中学（一）,760,省一级,公办,全寄宿,面向全市招收AC类考生,415,416,548,556,561
8310118,深圳第二外国语学校（一）,640,省一级,公办,全寄宿,面向全市招收AC类考生,394,392,503,514,541
8310120,深圳科学高中（一）,825,,公办,全寄宿,面向全市招收AC类考生,419,419,553,559,565
8310133,深圳市第一职业技术学校（综合高中）,100,,公办,全寄宿,面向全市招收ACD类考生,392,394,508,495,499
8310134,深圳市第七高级中学（一）,710,,公办,全寄宿,面向全市招收AC类考生,381,385,482,475,504
8310136,深圳市高级中学东校区（一）,740,省一级,公办,全寄宿,面向全市招收AC类考生,406,408,529,540,554
8310139,深圳外国语学校龙华高中部（一）,700,省一级,公办,全寄宿,面向全市招收AC类考生,405,403,529,542,555
8310141,深圳实验学校光明高中部（一）,957,省一级,公办,全寄宿,面向全市招收AC类考生,409,405,531,551,557
8310145,深圳科学高中龙岗分校（一）,410,,公办,全寄宿,面向全市招收AC类考生,,335,535,544,552
8310147,广东实验中学深圳学校（一）,525,,公办,全寄宿,面向全市招收AC类考生,,,526,546,554
8310150,南方科技大学附属中学（一）,600,,公办,全寄宿,面向全市招收AC类考生,,413,546,558,561
8310152,深圳大学附属实验中学（一）,450,,公办,全寄宿,面向全市招收AC类考生,,,503,533,549
8310154,深圳技术大学附属中学（一）,425,,公办,全寄宿,面向全市招收AC类考生,,,484,489,528
8310156,东北师范大学附属中学深圳学校（一）,425,,公办,全寄宿,面向全市招收AC类考生,,,485,526,546
8310158,深圳实验学校明理高中（一）,720,,公办,全寄宿,面向全市招收AC类考生,,,,508,533
8310160,深圳实验学校崇文高中（一）,640,,公办,全寄宿,面向全市招收AC类考生,,,,346,503
8310162,深圳实验学校卓越高中（一）,570,,公办,全寄宿,面向全市招收ACD类考生,,,,345,496
8310164,深圳外国语学校致远高中（一）,425,,公办,全寄宿,面向全市招收AC类考生,,,,399,492
8310166,深圳外国语学校弘知高中（一）,710,,公办,全寄宿,面向全市招收AC类考生,,,,480,517
8310168,深圳外国语学校博雅高中（一）,640,,公办,全寄宿,面向全市招收AC类考生,,,,461,504
8310170,深圳市高级中学创新高中（一）,585,,公办,全寄宿,面向全市招收AC类考生,,,,529,544
8310172,深圳市高级中学文博高中（一）,710,,公办,全寄宿,面向全市招收AC类考生,,,,494,525
8310174,深圳市高级中学理慧高中（一）,640,,公办,全寄宿,面向全市招收AC类考生,,,,507,532
8310176,深圳市第二高级中学深汕实验学校（一）,480,,公办,全寄宿,面向全市招收AC类考生,,,,450,463
8310178,深圳中学数理高中（一）,375,,公办,全寄宿,面向全市招收AC类考生,,,,,528
8310180,深圳实验学校至臻高中（一）,375,,公办,全寄宿,面向全市招收AC类考生,,,,,490
8310182,深圳外国语学校理工高中（一）,375,,公办,全寄宿,面向全市招收AC类考生,,,,,490
8310184,深圳市高级中学有为高中（一）,375,,公办,全寄宿,面向全市招收AC类考生,,,,,510
8310186,深圳市第二实验学校明远高中（一）,450,,公办,全寄宿,面向全市招收AC类考生,,,,,486
8310189,深圳北理莫斯科大学附属实验中学（一）,150,,公办,全寄宿,面向全市招收AC类考生,,,,,546
8310201,坪山高级中学（一）,640,省一级,公办,全寄宿,面向全市招收AC类考生,366,366,466,469,493
8310208,深圳市聚龙科学中学（一）,710,,公办,全寄宿,面向全市招收AC类考生,,,,458,490
8310301,翠园中学（一）,700,省一级,公办,全寄宿,面向全市招收AC类考生,417,417,545,552,559
8310303,罗湖高级中学（一）,465,省一级,公办,全寄宿,面向全市招收AC类考生,381,378,479,492,526
8310305,罗湖外语学校（一）,455,省一级,公办,全寄宿,面向全市招收AC类考生,397,392,509,527,542
8310306,深圳市美术学校（一）,215,,公办,全寄宿,面向全市招收AC类考生,380,378,500,423,472
8310308,深圳市行知职业技术学校（综合高中）,300,,公办,提供100个床位,面向全市招收ACD类考生,,,,447,492
8310401,红岭中学（一）,960,省一级,公办,全寄宿,面向全市招收AC类考生,428,426,564,566,569
8310403,福田中学（一）,780,省一级,公办,全寄宿,面向全市招收AC类考生,382,380,488,506,538
8310405,梅林中学（一）,425,省一级,公办,全寄宿,面向全市招收AC类考生,373,368,463,453,481
8310407,福田区外国语高级中学（一）,510,省一级,公办,全寄宿,面向全市招收AC类考生,390,389,494,500,530
8310424,深圳明德实验学校（集团）高级中学（香蜜校区）（一）,235,,公办,全寄宿,面向全市招收AC类考生,390,389,503,528,544
8310426,深圳明德实验学校（集团）高级中学（大鹏校区）（一）,235,,公办,全寄宿,面向全市招收AC类考生,,,,438,474
8310501,南头中学（一）,661,省一级,公办,全寄宿,面向全市招收AC类考生,405,403,522,538,549
8310503,育才中学（一）,470,省一级,公办,全寄宿,面向全市招收AC类考生,423,422,557,562,567
8310505,华侨城中学（一）,620,省一级,公办,全寄宿,面向全市招收AC类考生,398,398,512,534,547
8310507,北师大南山附属学校中学部（一）,301,省一级,公办,全寄宿,面向全市招收AC类考生,411,412,542,556,563
8310509,深圳市南山外国语学校（集团）高级中学（一）,480,省一级,公办,全寄宿,面向全市招收AC类考生,422,423,558,562,561
8310601,宝安中学（集团）高中部（一）,790,省一级,公办,全寄宿,面向全市招收AC类考生,425,426,561,564,568
8310603,宝安第一外国语学校（一）,563,省一级,公办,全寄宿,面向全市招收AC类考生,401,400,518,536,545
8310605,新安中学（集团）高中部（一）,600,省一级,公办,,面向全市招收AC类考生,408,409,535,549,554
8310607,西乡中学（一）,730,省一级,公办,全寄宿,面向全市招收AC类考生,385,386,494,488,513
8310609,沙井中学（一）,422,省一级,公办,全寄宿,面向全市招收AC类考生,355,361,456,449,474
8310611,松岗中学（一）,215,省一级,公办,全寄宿,面向全市招收AC类考生,396,397,513,535,545
8310616,深圳市石岩公学（公办班）,500,省一级,公办,全寄宿,面向全市招收ACD类考生,395,397,512,497,512
8310639,深圳市福海中学（一）,425,,公办,全寄宿,面向全市招收AC类考生,,,,466,501
8310641,深圳市龙津中学（一）,710,,公办,全寄宿,面向全市招收AC类考生,,,,505,537
8310643,深圳市燕川中学（一）,710,,公办,全寄宿,面向全市招收AC类考生,,,,478,515
8310701,龙城高级中学（一）,750,省一级,公办,全寄宿,面向全市招收AC类考生,409,409,539,553,560
8310703,平冈中学（一）,500,省一级,公办,全寄宿,面向全市招收AC类考生,384,383,485,485,519
8310705,布吉高级中学（一）,710,省一级,公办,全寄宿,面向全市招收AC类考生,367,365,458,452,476
8310707,布吉中学（一）,282,省一级,公办,走读,面向全市招收AC类考生,349,354,443,442,456
8310709,横岗高级中学（一）,565,省一级,公办,全寄宿,面向全市招收AC类考生,362,363,457,451,480
8310711,平湖外国语学校（一）,212,省一级,公办,全寄宿,面向全市招收AC类考生,359,360,454,449,475
8310713,华中师范大学龙岗附属中学（一）,710,市一级,公办,全寄宿,面向全市招收AC类考生,398,397,517,537,550
8310744,深圳市龙岗区实验高级中学（一）,285,,公办,全寄宿,面向全市招收AC类考生,,,,495,532
8310801,盐田高级中学（一）,750,,公办,全寄宿,面向全市招收AC类考生,406,402,524,542,549
8310805,深圳市盐港中学（综合高中）,100,,公办,全寄宿,面向全市招收AC类考生,,,,485,506
8310901,光明区高级中学（一）,1020,省一级,公办,全寄宿,面向全市招收AC类考生,375,378,479,476,505
8310903,光明中学（一）,425,省一级,公办,,面向全市招收AC类考生,359,362,460,457,482
8310906,中国科学院深圳理工大学附属实验高级中学（一）,497,,公办,全寄宿,面向全市招收AC类考生,,,496,523,542
8311001,龙华中学（一）,282,省一级,公办,,面向全市招收AC类考生,356,359,453,447,468
8311003,观澜中学（一）,720,省一级,公办,全寄宿,面向全市招收AC类考生,368,372,475,472,501
8311005,龙华高级中学（一）,450,,公办,全寄宿,面向全市招收AC类考生,401,401,529,548,557
8311014,深圳市艺术高中（一）,284,,公办,全寄宿,面向全市招收AC类考生,,,,446,471
8311016,深圳市格致中学（一）,425,,公办,全寄宿,面向全市招收AC类考生,,,503,529,545
8311018,深圳市红山中学（一）,425,,公办,全寄宿,面向全市招收AC类考生,,,496,521,544
8311022,深圳市龙华外国语高级中学（一）,425,,公办,全寄宿,面向全市招收AC类考生,,,,461,497
8311025,深圳市致理中学（一）,1125,,公办,全寄宿,面向全市招收AC类考生,,,,,492
8311101,人大附中深圳学校（一）,730,,公办,全寄宿,面向全市招收AC类考生,414,413,531,546,556
8311105,深圳市红岭教育集团大鹏华侨中学（一）,450,,公办,全寄宿,面向全市招收AC类考生,,,,,522